day,feature,family,subfamily,suffix,nominal_window_seconds,dtype,first_valid_index,first_valid_timestamp,last_valid_index,leading_nan_count,internal_nan_count,trailing_nan_count,total_nan_count,total_inf_count,missing_fraction,actual_warmup_seconds,stability_class,unexpected_internal_nan
1,PB1_T1,PB,PB1,1,15,double,6,00:00:05,23340,5,0,0,5,0,0.00021422450728363326,5,leading_only,False
1,PB1_T2,PB,PB1,2,30,double,11,00:00:10,23340,10,0,0,10,0,0.0004284490145672665,10,leading_only,False
1,PB1_T3,PB,PB1,3,90,double,31,00:00:30,23340,30,0,0,30,0,0.0012853470437017994,30,leading_only,False
1,PB1_T4,PB,PB1,4,180,double,61,00:01:00,23340,60,0,0,60,0,0.002570694087403599,60,leading_only,False
1,PB1_T5,PB,PB1,5,270,double,91,00:01:30,23340,90,0,0,90,0,0.0038560411311053984,90,leading_only,False
1,PB1_T6,PB,PB1,6,360,double,121,00:02:00,23340,120,0,0,120,0,0.005141388174807198,120,leading_only,False
1,PB1_T7,PB,PB1,7,900,double,301,00:05:00,23340,300,0,0,300,0,0.012853470437017995,300,leading_only,False
1,PB1_T8,PB,PB1,8,1800,double,601,00:10:00,23340,600,0,0,600,0,0.02570694087403599,600,leading_only,False
1,PB1_T9,PB,PB1,9,2700,double,901,00:15:00,23340,900,0,0,900,0,0.038560411311053984,900,leading_only,False
1,PB1_T10,PB,PB1,10,4500,double,1501,00:25:00,23340,1500,0,0,1500,0,0.06426735218508997,1500,leading_only,False
1,PB1_T11,PB,PB1,11,5400,double,1801,00:30:00,23340,1800,0,0,1800,0,0.07712082262210797,1800,leading_only,False
1,PB1_T12,PB,PB1,12,10800,double,3601,01:00:00,23340,3600,0,0,3600,0,0.15424164524421594,3600,leading_only,False
1,PB2_T1,PB,PB2,1,15,double,11,00:00:10,23340,10,0,0,10,0,0.0004284490145672665,10,leading_only,False
1,PB2_T2,PB,PB2,2,30,double,21,00:00:20,23340,20,0,0,20,0,0.000856898029134533,20,leading_only,False
1,PB2_T3,PB,PB2,3,90,double,61,00:01:00,23340,60,0,0,60,0,0.002570694087403599,60,leading_only,False
1,PB2_T4,PB,PB2,4,180,double,121,00:02:00,23340,120,0,0,120,0,0.005141388174807198,120,leading_only,False
1,PB2_T5,PB,PB2,5,270,double,181,00:03:00,23340,180,0,0,180,0,0.007712082262210797,180,leading_only,False
1,PB2_T6,PB,PB2,6,360,double,241,00:04:00,23340,240,0,0,240,0,0.010282776349614395,240,leading_only,False
1,PB2_T7,PB,PB2,7,900,double,601,00:10:00,23340,600,0,0,600,0,0.02570694087403599,600,leading_only,False
1,PB2_T8,PB,PB2,8,1800,double,1201,00:20:00,23340,1200,0,0,1200,0,0.05141388174807198,1200,leading_only,False
1,PB2_T9,PB,PB2,9,2700,double,1801,00:30:00,23340,1800,0,0,1800,0,0.07712082262210797,1800,leading_only,False
1,PB2_T10,PB,PB2,10,4500,double,3001,00:50:00,23340,3000,0,0,3000,0,0.12853470437017994,3000,leading_only,False
1,PB2_T11,PB,PB2,11,5400,double,3601,01:00:00,23340,3600,0,0,3600,0,0.15424164524421594,3600,leading_only,False
1,PB2_T12,PB,PB2,12,10800,double,7201,02:00:00,23340,7200,0,0,7200,0,0.30848329048843187,7200,leading_only,False
1,PB3_T1,PB,PB3,1,15,double,6,00:00:05,23340,5,0,0,5,0,0.00021422450728363326,5,leading_only,False
1,PB3_T2,PB,PB3,2,30,double,11,00:00:10,23340,10,0,0,10,0,0.0004284490145672665,10,leading_only,False
1,PB3_T3,PB,PB3,3,90,double,31,00:00:30,23340,30,0,0,30,0,0.0012853470437017994,30,leading_only,False
1,PB3_T4,PB,PB3,4,180,double,61,00:01:00,23340,60,0,0,60,0,0.002570694087403599,60,leading_only,False
1,PB3_T5,PB,PB3,5,270,double,91,00:01:30,23340,90,0,0,90,0,0.0038560411311053984,90,leading_only,False
1,PB3_T6,PB,PB3,6,360,double,121,00:02:00,23340,120,0,0,120,0,0.005141388174807198,120,leading_only,False
1,PB3_T7,PB,PB3,7,900,double,301,00:05:00,23340,300,0,0,300,0,0.012853470437017995,300,leading_only,False
1,PB3_T8,PB,PB3,8,1800,double,601,00:10:00,23340,600,0,0,600,0,0.02570694087403599,600,leading_only,False
1,PB3_T9,PB,PB3,9,2700,double,901,00:15:00,23340,900,0,0,900,0,0.038560411311053984,900,leading_only,False
1,PB3_T10,PB,PB3,10,4500,double,1501,00:25:00,23340,1500,0,0,1500,0,0.06426735218508997,1500,leading_only,False
1,PB3_T11,PB,PB3,11,5400,double,1801,00:30:00,23340,1800,0,0,1800,0,0.07712082262210797,1800,leading_only,False
1,PB3_T12,PB,PB3,12,10800,double,3601,01:00:00,23340,3600,0,0,3600,0,0.15424164524421594,3600,leading_only,False
1,PB4_T1,PB,PB4,1,15,double,6,00:00:05,23340,5,0,0,5,0,0.00021422450728363326,5,leading_only,False
1,PB4_T2,PB,PB4,2,30,double,11,00:00:10,23340,10,0,0,10,0,0.0004284490145672665,10,leading_only,False
