feature,family,horizon_if_applicable,development_evidence,development_screen_status,eligible_for_ml,reason,mean_pearson_ic,pearson_pct_same_sign,pearson_fdr_reject,pearson_fdr_qvalue,days_scored
BB10_T1,BB,1,"{""mean_pearson_ic"": -0.0150388257138987, ""pearson_fdr_qvalue"": 1.935487741502304e-09, ""pearson_fdr_reject"": true, ""pearson_pct_same_sign"": 0.8857142857142857}",excluded,False,abs(mean_pearson_ic)<0.05,-0.0150388257138987,0.8857142857142857,True,1.935487741502304e-09,70
BB10_T10,BB,1,"{""mean_pearson_ic"": -0.0049708332332171, ""pearson_fdr_qvalue"": 3.1053485844062944e-06, ""pearson_fdr_reject"": true, ""pearson_pct_same_sign"": 0.7285714285714285}",excluded,False,abs(mean_pearson_ic)<0.05,-0.0049708332332171,0.7285714285714285,True,3.1053485844062944e-06,70
BB10_T11,BB,1,"{""mean_pearson_ic"": -0.0045780357690649, ""pearson_fdr_qvalue"": 1.8124750108177345e-05, ""pearson_fdr_reject"": true, ""pearson_pct_same_sign"": 0.7571428571428571}",excluded,False,abs(mean_pearson_ic)<0.05,-0.0045780357690649,0.7571428571428571,True,1.8124750108177345e-05,70
BB10_T12,BB,1,"{""mean_pearson_ic"": -0.0045874600965775, ""pearson_fdr_qvalue"": 5.2898318475138535e-05, ""pearson_fdr_reject"": true, ""pearson_pct_same_sign"": 0.7714285714285715}",excluded,False,abs(mean_pearson_ic)<0.05,-0.0045874600965775,0.7714285714285715,True,5.2898318475138535e-05,70
BB10_T2,BB,1,"{""mean_pearson_ic"": -0.013742314758648, ""pearson_fdr_qvalue"": 5.368581135049216e-09, ""pearson_fdr_reject"": true, ""pearson_pct_same_sign"": 0.8571428571428571}",excluded,False,abs(mean_pearson_ic)<0.05,-0.013742314758648,0.8571428571428571,True,5.368581135049216e-09,70
BB10_T3,BB,1,"{""mean_pearson_ic"": -0.0116459795720224, ""pearson_fdr_qvalue"": 1.3590768727448427e-09, ""pearson_fdr_reject"": true, ""pearson_pct_same_sign"": 0.8428571428571429}",excluded,False,abs(mean_pearson_ic)<0.05,-0.0116459795720224,0.8428571428571429,True,1.3590768727448427e-09,70
BB10_T4,BB,1,"{""mean_pearson_ic"": -0.0101813088089016, ""pearson_fdr_qvalue"": 3.4379007831311957e-10, ""pearson_fdr_reject"": true, ""pearson_pct_same_sign"": 0.8142857142857143}",excluded,False,abs(mean_pearson_ic)<0.05,-0.0101813088089016,0.8142857142857143,True,3.4379007831311957e-10,70
BB10_T5,BB,1,"{""mean_pearson_ic"": -0.0089643714658112, ""pearson_fdr_qvalue"": 1.001310091065299e-09, ""pearson_fdr_reject"": true, ""pearson_pct_same_sign"": 0.8}",excluded,False,abs(mean_pearson_ic)<0.05,-0.0089643714658112,0.8,True,1.001310091065299e-09,70
BB10_T6,BB,1,"{""mean_pearson_ic"": -0.0080129100682777, ""pearson_fdr_qvalue"": 8.441976327741998e-09, ""pearson_fdr_reject"": true, ""pearson_pct_same_sign"": 0.7857142857142857}",excluded,False,abs(mean_pearson_ic)<0.05,-0.0080129100682777,0.7857142857142857,True,8.441976327741998e-09,70
BB10_T7,BB,1,"{""mean_pearson_ic"": -0.0058856767582295, ""pearson_fdr_qvalue"": 1.3604681539493267e-06, ""pearson_fdr_reject"": true, ""pearson_pct_same_sign"": 0.8}",excluded,False,abs(mean_pearson_ic)<0.05,-0.0058856767582295,0.8,True,1.3604681539493267e-06,70
BB10_T8,BB,1,"{""mean_pearson_ic"": -0.0054566373707111, ""pearson_fdr_qvalue"": 1.1922139429612509e-06, ""pearson_fdr_reject"": true, ""pearson_pct_same_sign"": 0.7714285714285715}",excluded,False,abs(mean_pearson_ic)<0.05,-0.0054566373707111,0.7714285714285715,True,1.1922139429612509e-06,70
BB10_T9,BB,1,"{""mean_pearson_ic"": -0.0048208759253746, ""pearson_fdr_qvalue"": 8.527706523975848e-06, ""pearson_fdr_reject"": true, ""pearson_pct_same_sign"": 0.7}",excluded,False,abs(mean_pearson_ic)<0.05,-0.0048208759253746,0.7,True,8.527706523975848e-06,70
BB11_T1,BB,1,"{""mean_pearson_ic"": -0.0119564943400107, ""pearson_fdr_qvalue"": 3.05149185205508e-21, ""pearson_fdr_reject"": true, ""pearson_pct_same_sign"": 0.9285714285714286}",excluded,False,abs(mean_pearson_ic)<0.05,-0.0119564943400107,0.9285714285714286,True,3.05149185205508e-21,70
BB11_T10,BB,1,"{""mean_pearson_ic"": -0.0093852319588328, ""pearson_fdr_qvalue"": 1.5911869819750917e-18, ""pearson_fdr_reject"": true, ""pearson_pct_same_sign"": 0.9285714285714286}",excluded,False,abs(mean_pearson_ic)<0.05,-0.0093852319588328,0.9285714285714286,True,1.5911869819750917e-18,70
BB11_T11,BB,1,"{""mean_pearson_ic"": -0.0096197226463228, ""pearson_fdr_qvalue"": 4.409704961491316e-18, ""pearson_fdr_reject"": true, ""pearson_pct_same_sign"": 0.9142857142857144}",excluded,False,abs(mean_pearson_ic)<0.05,-0.0096197226463228,0.9142857142857144,True,4.409704961491316e-18,70
BB11_T12,BB,1,"{""mean_pearson_ic"": -0.0097788547349754, ""pearson_fdr_qvalue"": 2.5930228543353433e-19, ""pearson_fdr_reject"": true, ""pearson_pct_same_sign"": 0.9428571428571428}",excluded,False,abs(mean_pearson_ic)<0.05,-0.0097788547349754,0.9428571428571428,True,2.5930228543353433e-19,70
