trade_id,window,day,signal_timestamp,signal_timestamp_seconds,entry_timestamp,entry_timestamp_seconds,exit_timestamp,exit_timestamp_seconds,direction,side,position,notional,entry_price,exit_price,prediction,gross_return,gross_pnl,entry_cost,exit_cost,transaction_cost,net_return,net_pnl
W3-D80-T00000,W3,80,02:59:58,10798,02:59:58,10798,03:04:58,11098,1,LONG,1.0,1.0,99.98518957345972,99.9686348077936,4.897926105779675e-06,-0.00016557217860702078,-0.00016557217860702078,0.0005,0.0005,0.001,-0.0011655721786070208,-0.0011655721786070208
W3-D80-T00001,W3,80,03:04:58,11098,03:04:58,11098,03:09:58,11398,1,LONG,1.0,1.0,99.9686348077936,99.93090113217482,4.897926105779675e-06,-0.0003774551457197406,-0.0003774551457197406,0.0005,0.0005,0.001,-0.0013774551457197406,-0.0013774551457197406
W3-D80-T00002,W3,80,03:09:58,11398,03:09:58,11398,03:14:58,11698,1,LONG,1.0,1.0,99.93090113217482,99.92677066877305,1.0314109504797121e-05,-4.1333194787385175e-05,-4.1333194787385175e-05,0.0005,0.0005,0.001,-0.0010413331947873852,-0.0010413331947873852
W3-D80-T00003,W3,80,03:14:58,11698,03:14:58,11698,03:19:58,11998,1,LONG,1.0,1.0,99.92677066877305,99.94404949973672,4.897926105779675e-06,0.00017291493408655434,0.00017291493408655434,0.0005,0.0005,0.001,-0.0008270850659134457,-0.0008270850659134457
W3-D80-T00004,W3,80,03:19:58,11998,03:19:58,11998,03:24:58,12298,1,LONG,1.0,1.0,99.94404949973672,99.97284755134282,1.0314109504797121e-05,0.0002881417328020053,0.0002881417328020053,0.0005,0.0005,0.001,-0.0007118582671979947,-0.0007118582671979947
W3-D80-T00005,W3,80,03:24:58,12298,03:24:58,12298,03:29:58,12598,1,LONG,1.0,1.0,99.97284755134282,99.94898630858349,4.897926105779675e-06,-0.00023867723430692767,-0.00023867723430692767,0.0005,0.0005,0.001,-0.0012386772343069277,-0.0012386772343069277
W3-D80-T00006,W3,80,03:29:58,12598,03:29:58,12598,03:34:58,12898,1,LONG,1.0,1.0,99.94898630858349,100.02412453923118,4.897926105779675e-06,0.0007517658099673863,0.0007517658099673863,0.0005,0.0005,0.001,-0.00024823419003261373,-0.00024823419003261373
W3-D80-T00007,W3,80,03:34:58,12898,03:34:58,12898,03:39:58,13198,1,LONG,1.0,1.0,100.02412453923118,100.072422985782,4.897926105779675e-06,0.0004828679758339671,0.0004828679758339671,0.0005,0.0005,0.001,-0.0005171320241660329,-0.0005171320241660329
W3-D80-T00008,W3,80,03:39:58,13198,03:39:58,13198,03:44:58,13498,1,LONG,1.0,1.0,100.072422985782,100.09050816219064,4.897926105779675e-06,0.0001807208806288152,0.0001807208806288152,0.0005,0.0005,0.001,-0.0008192791193711848,-0.0008192791193711848
W3-D80-T00009,W3,80,03:44:58,13498,03:44:58,13498,03:49:58,13798,1,LONG,1.0,1.0,100.09050816219064,100.10531858873092,4.897926105779675e-06,0.000147970340167225,0.000147970340167225,0.0005,0.0005,0.001,-0.000852029659832775,-0.000852029659832775
W3-D80-T00010,W3,80,03:49:58,13798,03:49:58,13798,03:54:58,14098,1,LONG,1.0,1.0,100.10531858873092,100.08228014744604,4.897926105779675e-06,-0.00023014203051019422,-0.00023014203051019422,0.0005,0.0005,0.001,-0.0012301420305101942,-0.0012301420305101942
W3-D80-T00011,W3,80,03:54:58,14098,03:54:58,14098,03:59:58,14398,1,LONG,1.0,1.0,100.08228014744604,100.0477224855187,4.897926105779675e-06,-0.00034529251208526013,-0.00034529251208526013,0.0005,0.0005,0.001,-0.0013452925120852601,-0.0013452925120852601
W3-D80-T00012,W3,80,03:59:58,14398,03:59:58,14398,04:04:58,14698,1,LONG,1.0,1.0,100.0477224855187,99.99835439705107,4.897926105779675e-06,-0.0004934454002666344,-0.0004934454002666344,0.0005,0.0005,0.001,-0.0014934454002666344,-0.0014934454002666344
W3-D80-T00013,W3,80,04:04:58,14698,04:04:58,14698,04:09:58,14998,1,LONG,1.0,1.0,99.99835439705107,100.02797525013166,4.897926105779675e-06,0.0002962134053023924,0.0002962134053023924,0.0005,0.0005,0.001,-0.0007037865946976076,-0.0007037865946976076
W3-D80-T00014,W3,80,04:09:58,14998,04:09:58,14998,04:14:58,15298,1,LONG,1.0,1.0,100.02797525013166,100.01153567667194,4.897926105779675e-06,-0.0001643497573414754,-0.0001643497573414754,0.0005,0.0005,0.001,-0.0011643497573414754,-0.0011643497573414754
W3-D80-T00015,W3,80,04:14:58,15298,04:14:58,15298,04:19:58,15598,1,LONG,1.0,1.0,100.01153567667194,100.01974723538704,2.3216314305748446e-06,8.210611565506731e-05,8.210611565506731e-05,0.0005,0.0005,0.001,-0.0009178938843449327,-0.0009178938843449327
W3-D80-T00016,W3,80,04:19:58,15598,04:19:58,15598,04:24:58,15898,1,LONG,1.0,1.0,100.01974723538704,100.05249473407058,2.3216314305748446e-06,0.0003274103323462896,0.0003274103323462896,0.0005,0.0005,0.001,-0.0006725896676537104,-0.0006725896676537104
W3-D80-T00017,W3,80,04:24:58,15898,04:24:58,15898,04:29:58,16198,1,LONG,1.0,1.0,100.05249473407058,100.05265929436548,6.4055980733941145e-06,1.6447395474461501e-06,1.6447395474461501e-06,0.0005,0.0005,0.001,-0.0009983552604525539,-0.0009983552604525539
W3-D80-T00018,W3,80,04:29:58,16198,04:29:58,16198,04:34:58,16498,-1,SHORT,-1.0,1.0,100.05265929436548,100.00329120589784,-4.695956510374236e-06,0.0004934210526318372,0.0004934210526318372,0.0005,0.0005,0.001,-0.0005065789473681628,-0.0005065789473681628
W3-D80-T00019,W3,80,04:34:58,16498,04:34:58,16498,04:39:58,16798,-1,SHORT,-1.0,1.0,100.00329120589784,99.94734070563456,-4.695956510374236e-06,0.0005594865887771361,0.0005594865887771361,0.0005,0.0005,0.001,-0.00044051341122286394,-0.00044051341122286394
W3-D80-T00020,W3,80,04:39:58,16798,04:39:58,16798,04:44:58,17098,-1,SHORT,-1.0,1.0,99.94734070563456,99.90949183780938,-1.354295181986491e-05,0.0003786880927292291,0.0003786880927292291,0.0005,0.0005,0.001,-0.0006213119072707709,-0.0006213119072707709
W3-D80-T00021,W3,80,04:44:58,17098,04:44:58,17098,04:49:58,17398,-1,SHORT,-1.0,1.0,99.90949183780938,99.93253027909428,-4.656143483471119e-05,-0.00023059311844253472,-0.00023059311844253472,0.0005,0.0005,0.001,-0.0012305931184425347,-0.0012305931184425347
W3-D80-T00022,W3,80,04:49:58,17398,04:49:58,17398,04:54:58,17698,1,LONG,1.0,1.0,99.93253027909428,99.9152349921011,4.897926105779675e-06,-0.00017306963953456211,-0.00017306963953456211,0.0005,0.0005,0.001,-0.0011730696395345621,-0.0011730696395345621
W3-D80-T00023,W3,80,04:54:58,17698,04:54:58,17698,04:59:58,17998,1,LONG,1.0,1.0,99.9152349921011,99.89468141126908,4.897926105779675e-06,-0.0002057101785694071,-0.0002057101785694071,0.0005,0.0005,0.001,-0.0012057101785694071,-0.0012057101785694071
W3-D80-T00024,W3,80,04:59:58,17998,04:59:58,17998,05:04:58,18298,1,LONG,1.0,1.0,99.89468141126908,99.9275934702475,4.897926105779675e-06,0.00032946758039020807,0.00032946758039020807,0.0005,0.0005,0.001,-0.000670532419609792,-0.000670532419609792
W3-D80-T00025,W3,80,05:04:58,18298,05:04:58,18298,05:09:58,18598,1,LONG,1.0,1.0,99.9275934702475,99.92265666140077,4.897926105779675e-06,-4.940386008800424e-05,-4.940386008800424e-05,0.0005,0.0005,0.001,-0.0010494038600880043,-0.0010494038600880043
W3-D80-T00026,W3,80,05:09:58,18598,05:09:58,18598,05:14:58,18898,1,LONG,1.0,1.0,99.92265666140077,99.94816350710902,4.897926105779675e-06,0.00025526588824287266,0.00025526588824287266,0.0005,0.0005,0.001,-0.0007447341117571274,-0.0007447341117571274
W3-D80-T00027,W3,80,05:14:58,18898,05:14:58,18898,05:19:58,19198,1,LONG,1.0,1.0,99.94816350710902,99.9818983675619,4.897926105779675e-06,0.0003375235649074604,0.0003375235649074604,0.0005,0.0005,0.001,-0.0006624764350925396,-0.0006624764350925396
W3-D80-T00028,W3,80,05:19:58,19198,05:19:58,19198,05:24:58,19498,1,LONG,1.0,1.0,99.9818983675619,99.97037914691944,4.897926105779675e-06,-0.00011521306186956792,-0.00011521306186956792,0.0005,0.0005,0.001,-0.001115213061869568,-0.001115213061869568
W3-D80-T00029,W3,80,05:24:58,19498,05:24:58,19498,05:29:58,19798,1,LONG,1.0,1.0,99.97037914691944,99.91278304370722,4.897926105779675e-06,-0.000576131687242798,-0.000576131687242798,0.0005,0.0005,0.001,-0.001576131687242798,-0.001576131687242798
W3-D80-T00030,W3,80,05:29:58,19798,05:29:58,19798,05:34:58,20098,1,LONG,1.0,1.0,99.91278304370722,99.93746708794102,4.897926105779675e-06,0.0002470559169891473,0.0002470559169891473,0.0005,0.0005,0.001,-0.0007529440830108527,-0.0007529440830108527
W3-D80-T00031,W3,80,05:34:58,20098,05:34:58,20098,05:39:58,20398,1,LONG,1.0,1.0,99.93746708794102,99.96544233807268,4.897926105779675e-06,0.00027992754816419385,0.00027992754816419385,0.0005,0.0005,0.001,-0.0007200724518358062,-0.0007200724518358062
W3-D80-T00032,W3,80,05:39:58,20398,05:39:58,20398,05:44:58,20698,1,LONG,1.0,1.0,99.96544233807268,99.9917719852554,4.897926105779675e-06,0.0002633874923863022,0.0002633874923863022,0.0005,0.0005,0.001,-0.0007366125076136978,-0.0007366125076136978
W3-D80-T00033,W3,80,05:44:58,20698,05:44:58,20698,05:49:58,20998,1,LONG,1.0,1.0,99.9917719852554,99.99835439705107,4.897926105779675e-06,6.582953442046957e-05,6.582953442046957e-05,0.0005,0.0005,0.001,-0.0009341704655795304,-0.0009341704655795304
W3-D80-T00034,W3,80,05:49:58,20998,05:49:58,20998,05:54:58,21298,1,LONG,1.0,1.0,99.99835439705107,99.97202474986835,4.897926105779675e-06,-0.0002633008047130403,-0.0002633008047130403,0.0005,0.0005,0.001,-0.0012633008047130403,-0.0012633008047130403
W3-D80-T00035,W3,80,05:54:58,21298,05:54:58,21298,05:59:58,21598,1,LONG,1.0,1.0,99.97202474986835,99.98848077935756,4.897926105779675e-06,0.00016460634392845286,0.00016460634392845286,0.0005,0.0005,0.001,-0.0008353936560715472,-0.0008353936560715472
W3-D80-T00036,W3,80,05:59:58,21598,05:59:58,21598,06:04:58,21898,1,LONG,1.0,1.0,99.98848077935756,99.99012638230649,4.897926105779675e-06,1.645792531390633e-05,1.645792531390633e-05,0.0005,0.0005,0.001,-0.0009835420746860937,-0.0009835420746860937
W3-D80-T00037,W3,80,06:04:58,21898,06:04:58,21898,06:09:58,22198,1,LONG,1.0,1.0,99.99012638230649,99.97860716166404,4.897926105779675e-06,-0.0001152035811855523,-0.0001152035811855523,0.0005,0.0005,0.001,-0.0011152035811855523,-0.0011152035811855523
W3-D80-T00038,W3,80,06:09:58,22198,06:09:58,22198,06:14:58,22498,1,LONG,1.0,1.0,99.97860716166404,100.0,1.0314109504797121e-05,0.00021397415850543666,0.00021397415850543666,0.0005,0.0005,0.001,-0.0007860258414945634,-0.0007860258414945634
W3-D80-T00039,W3,80,06:14:58,22498,06:14:58,22498,06:19:58,22798,1,LONG,1.0,1.0,100.0,100.02221563981044,4.897926105779675e-06,0.00022215639810441168,0.00022215639810441168,0.0005,0.0005,0.001,-0.0007778436018955883,-0.0007778436018955883
W3-D80-T00040,W3,80,06:19:58,22798,06:19:58,22798,06:24:58,23098,1,LONG,1.0,1.0,100.02221563981044,100.04854528699316,4.897926105779675e-06,0.00026323799182303986,0.00026323799182303986,0.0005,0.0005,0.001,-0.0007367620081769602,-0.0007367620081769602
W3-D81-T00000,W3,81,02:59:58,10798,02:59:58,10798,03:04:58,11098,-1,SHORT,-1.0,1.0,100.13344355977912,100.13162963914216,-7.75665767869017e-06,1.8115033024734828e-05,1.8115033024734828e-05,0.0005,0.0005,0.001,-0.0009818849669752652,-0.0009818849669752652
W3-D81-T00001,W3,81,03:04:58,11098,03:04:58,11098,03:09:58,11398,-1,SHORT,-1.0,1.0,100.13162963914216,100.16373442917684,-1.354295181986491e-05,-0.00032062586168213336,-0.00032062586168213336,0.0005,0.0005,0.001,-0.0013206258616821334,-0.0013206258616821334
W3-D81-T00002,W3,81,03:09:58,11398,03:09:58,11398,03:14:58,11698,-1,SHORT,-1.0,1.0,100.16373442917684,100.16779568511622,-1.354295181986491e-05,-4.054617135151872e-05,-4.054617135151872e-05,0.0005,0.0005,0.001,-0.0010405461713515187,-0.0010405461713515187
W3-D81-T00003,W3,81,03:14:58,11698,03:14:58,11698,03:19:58,11998,-1,SHORT,-1.0,1.0,100.16779568511622,100.20145755746756,-4.695956510374236e-06,-0.0003360548379955919,-0.0003360548379955919,0.0005,0.0005,0.001,-0.001336054837995592,-0.001336054837995592
W3-D81-T00004,W3,81,03:19:58,11998,03:19:58,11998,03:24:58,12298,-1,SHORT,-1.0,1.0,100.20145755746756,100.21670733273402,-4.695956510374236e-06,-0.00015219115208697787,-0.00015219115208697787,0.0005,0.0005,0.001,-0.0011521911520869779,-0.0011521911520869779
W3-D81-T00005,W3,81,03:24:58,12298,03:24:58,12298,03:29:58,12598,-1,SHORT,-1.0,1.0,100.21670733273402,100.23597020675484,-4.695956510374236e-06,-0.00019221220227150226,-0.00019221220227150226,0.0005,0.0005,0.001,-0.0011922122022715023,-0.0011922122022715023
W3-D81-T00006,W3,81,03:29:58,12598,03:29:58,12598,03:34:58,12898,1,LONG,1.0,1.0,100.23597020675484,100.25202260177215,1.090337630800501e-06,0.00016014605320036068,0.00016014605320036068,0.0005,0.0005,0.001,-0.0008398539467996393,-0.0008398539467996393
W3-D81-T00007,W3,81,03:34:58,12898,03:34:58,12898,03:39:58,13198,1,LONG,1.0,1.0,100.25202260177215,100.2536278412739,4.063227968277076e-06,1.6012041055057935e-05,1.6012041055057935e-05,0.0005,0.0005,0.001,-0.000983987958944942,-0.000983987958944942
W3-D81-T00008,W3,81,03:39:58,13198,03:39:58,13198,03:44:58,13498,1,LONG,1.0,1.0,100.2536278412739,100.27770643379992,4.063227968277076e-06,0.00024017677010301774,0.00024017677010301774,0.0005,0.0005,0.001,-0.0007598232298969823,-0.0007598232298969823
W3-D81-T00009,W3,81,03:44:58,13498,03:44:58,13498,03:49:58,13798,1,LONG,1.0,1.0,100.27770643379992,100.30178502632592,4.063227968277076e-06,0.00024011909907306617,0.00024011909907306617,0.0005,0.0005,0.001,-0.0007598809009269339,-0.0007598809009269339
W3-D81-T00010,W3,81,03:49:58,13798,03:49:58,13798,03:54:58,14098,1,LONG,1.0,1.0,100.30178502632592,100.27128547579298,4.063227968277076e-06,-0.00030407784392805226,-0.00030407784392805226,0.0005,0.0005,0.001,-0.0013040778439280523,-0.0013040778439280523
W3-D81-T00011,W3,81,03:54:58,14098,03:54:58,14098,03:59:58,14398,1,LONG,1.0,1.0,100.27128547579298,100.27931167330163,4.063227968277076e-06,8.004482510193256e-05,8.004482510193256e-05,0.0005,0.0005,0.001,-0.0009199551748980675,-0.0009199551748980675
W3-D81-T00012,W3,81,03:59:58,14398,03:59:58,14398,04:04:58,14698,1,LONG,1.0,1.0,100.27931167330163,100.3049955053294,4.063227968277076e-06,0.00025612293901100536,0.00025612293901100536,0.0005,0.0005,0.001,-0.0007438770609889947,-0.0007438770609889947
W3-D81-T00013,W3,81,04:04:58,14698,04:04:58,14698,04:09:58,14998,-1,SHORT,-1.0,1.0,100.3049955053294,100.28733787081032,-1.0098981599451918e-05,0.0001760394328330639,0.0001760394328330639,0.0005,0.0005,0.001,-0.0008239605671669361,-0.0008239605671669361
W3-D81-T00014,W3,81,04:09:58,14998,04:09:58,14998,04:14:58,15298,1,LONG,1.0,1.0,100.28733787081032,100.26968023629124,4.063227968277076e-06,-0.00017607042817135987,-0.00017607042817135987,0.0005,0.0005,0.001,-0.00117607042817136,-0.00117607042817136
