expected_development_days,available_development_days,missing_development_days,holdout_days,scope,day,horizon_seconds,valid_observations,missing_target_observations,mean,std,skewness,kurtosis,q01,q05,q25,q50,q75,q95,q99,positive_fraction,negative_fraction,zero_fraction
85,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 80, 81, 82, 83, 84, 85]","[65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79]","[86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108]",day,1.0,1,23339,1,1.3653690862435604e-07,2.1109097467689126e-05,-0.9645530255421746,19.538745277811984,-6.583165818659698e-05,-3.2986970146753336e-05,0.0,0.0,1.651037122574195e-07,3.298805832296914e-05,6.583071014176767e-05,0.2577659711212991,0.2441835554222546,0.4980504734564463
85,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 80, 81, 82, 83, 84, 85]","[65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79]","[86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108]",day,1.0,5,23335,5,6.576489916575704e-07,4.4944983013158255e-05,-1.158245414454573,17.611233224244117,-0.00013168563969518044,-6.599462143852541e-05,-1.6503692702285466e-05,0.0,1.794757593409635e-05,6.602980916130541e-05,0.00011558910649317689,0.4434540389972145,0.4105421041354189,0.1460038568673666
85,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 80, 81, 82, 83, 84, 85]","[65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79]","[86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108]",day,1.0,30,23310,30,3.99531311128612e-06,0.0001015921417429188,-0.5934197051776843,4.784922462232175,-0.00029714400925295317,-0.00016302230988525233,-4.927286079242643e-05,1.98026735054313e-06,5.774291205740134e-05,0.0001621230379350023,0.00026384354043352154,0.5078078078078078,0.4431145431145431,0.049077649077649076
85,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 80, 81, 82, 83, 84, 85]","[65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79]","[86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108]",day,1.0,60,23280,60,7.90308033263534e-06,0.00013957564627930402,-0.4941290365840125,2.954888785878424,-0.00043092880493421414,-0.00021421450333816705,-6.580358150409804e-05,8.256990591704039e-06,8.246198502459556e-05,0.00023103473029902898,0.0003468437221287868,0.522852233676976,0.44033505154639174,0.0368127147766323
85,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 80, 81, 82, 83, 84, 85]","[65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79]","[86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108]",day,1.0,300,23040,300,3.6760362708693016e-05,0.00031689001188049383,-0.26221548309547815,1.6875727472433653,-0.000924131155184762,-0.00047022137542588325,-0.000123676659740668,3.29963580275594e-05,0.0002043099229031009,0.0005650736841402713,0.0008585151369977972,0.5516493055555556,0.4343315972222222,0.014019097222222223
85,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 80, 81, 82, 83, 84, 85]","[65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79]","[86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108]",day,2.0,1,23339,1,8.319880481883414e-08,3.4251505177097245e-05,-0.26750840749946575,4.828360990430987,-9.232803292023694e-05,-6.147605236006548e-05,-2.0517450091350753e-05,0.0,2.0521662718486766e-05,5.897725343395606e-05,8.228187384662355e-05,0.40203093534427353,0.3861776425725181,0.21179142208320836
85,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 80, 81, 82, 83, 84, 85]","[65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79]","[86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108]",day,2.0,5,23335,5,3.700165811462078e-07,7.71284823368116e-05,-0.18894097239755903,1.6757952634796194,-0.00020244633774071374,-0.00012339483884901136,-4.115692105521873e-05,0.0,4.871650271864869e-05,0.00012314765403709238,0.0001847050281396756,0.4765373901864153,0.4582386972359117,0.06522391257767303
85,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 80, 81, 82, 83, 84, 85]","[65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79]","[86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108]",day,2.0,30,23310,30,1.7694114718875452e-06,0.00018680004972072018,-0.15748653124181847,0.40380536900478603,-0.00047173620564660234,-0.0003083669199207273,-0.00011553237422309848,2.360235270004729e-06,0.00012327915344878537,0.0002980152696935523,0.0004302829889406889,0.5027885027885027,0.4716430716430716,0.02556842556842557
85,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 80, 81, 82, 83, 84, 85]","[65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79]","[86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108]",day,2.0,60,23280,60,3.1397807687053617e-06,0.00025551703686323114,-0.06546376932106611,0.026193724605785285,-0.0005957379826759368,-0.0004255637422561298,-0.00016436892605475872,0.0,0.00018453233239251743,0.0004111926643226571,0.0005971519844561078,0.4984536082474227,0.4838058419243986,0.017740549828178694
85,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 80, 81, 82, 83, 84, 85]","[65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79]","[86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108]",day,2.0,300,23040,300,5.6453861128968484e-06,0.0005698007555227177,-0.27666872123362807,0.4364268703227401,-0.0015161706787448137,-0.0010026213080608303,-0.00032878176093589784,2.0533037666137233e-05,0.00036974841704379147,0.0009253783302785145,0.0012554855461627623,0.5118489583333333,0.4802517361111111,0.007899305555555555
