day,path,size_bytes,scope,development_expected,holdout_expected
1,data/day1.csv,299153889,development,True,False
2,data/day2.csv,298982559,development,True,False
3,data/day3.csv,300458374,development,True,False
4,data/day4.csv,297376449,development,True,False
5,data/day5.csv,299435989,development,True,False
6,data/day6.csv,298539016,development,True,False
7,data/day7.csv,298615778,development,True,False
8,data/day8.csv,300378708,development,True,False
9,data/day9.csv,297596596,development,True,False
10,data/day10.csv,296982941,development,True,False
11,data/day11.csv,297558233,development,True,False
12,data/day12.csv,299796996,development,True,False
13,data/day13.csv,300116100,development,True,False
14,data/day14.csv,298303546,development,True,False
15,data/day15.csv,300888428,development,True,False
16,data/day16.csv,297974960,development,True,False
17,data/day17.csv,298020414,development,True,False
18,data/day18.csv,299344765,development,True,False
19,data/day19.csv,299988905,development,True,False
20,data/day20.csv,299306606,development,True,False
21,data/day21.csv,299073617,development,True,False
22,data/day22.csv,298838016,development,True,False
23,data/day23.csv,299939995,development,True,False
24,data/day24.csv,300455025,development,True,False
25,data/day25.csv,298524878,development,True,False
26,data/day26.csv,298483526,development,True,False
27,data/day27.csv,300274161,development,True,False
28,data/day28.csv,299625232,development,True,False
29,data/day29.csv,296575683,development,True,False
30,data/day30.csv,296772921,development,True,False
31,data/day31.csv,299765792,development,True,False
32,data/day32.csv,298917325,development,True,False
33,data/day33.csv,297435031,development,True,False
34,data/day34.csv,297091246,development,True,False
35,data/day35.csv,300247193,development,True,False
36,data/day36.csv,296939167,development,True,False
37,data/day37.csv,299525662,development,True,False
38,data/day38.csv,297535231,development,True,False
39,data/day39.csv,300148152,development,True,False
40,data/day40.csv,299695678,development,True,False
41,data/day41.csv,299753389,development,True,False
42,data/day42.csv,300275382,development,True,False
43,data/day43.csv,299655864,development,True,False
44,data/day44.csv,296473129,development,True,False
45,data/day45.csv,298566087,development,True,False
46,data/day46.csv,299851184,development,True,False
47,data/day47.csv,298202866,development,True,False
48,data/day48.csv,299686673,development,True,False
49,data/day49.csv,300179161,development,True,False
50,data/day50.csv,299548710,development,True,False
51,data/day51.csv,298575143,development,True,False
52,data/day52.csv,298528367,development,True,False
53,data/day53.csv,300020745,development,True,False
54,data/day54.csv,297860221,development,True,False
55,data/day55.csv,299867085,development,True,False
56,data/day56.csv,298776680,development,True,False
57,data/day57.csv,300942052,development,True,False
58,data/day58.csv,297228642,development,True,False
59,data/day59.csv,299662307,development,True,False
60,data/day60.csv,220740086,development,True,False
61,data/day61.csv,218219216,development,True,False
62,data/day62.csv,188683770,development,True,False
63,data/day63.csv,188689509,development,True,False
64,data/day64.csv,186210460,development,True,False
80,data/day80.csv,298789445,development,True,False
81,data/day81.csv,300088934,development,True,False
82,data/day82.csv,300155038,development,True,False
83,data/day83.csv,299865890,development,True,False
84,data/day84.csv,296782142,development,True,False
85,data/day85.csv,299697948,development,True,False
86,data/day86.csv,296455828,holdout,False,True
87,data/day87.csv,297263851,holdout,False,True
88,data/day88.csv,300295609,holdout,False,True
89,data/day89.csv,297189331,holdout,False,True
90,data/day90.csv,299899599,holdout,False,True
91,data/day91.csv,297099608,holdout,False,True
92,data/day92.csv,300727017,holdout,False,True
93,data/day93.csv,300713252,holdout,False,True
94,data/day94.csv,299734912,holdout,False,True
95,data/day95.csv,300353368,holdout,False,True
96,data/day96.csv,298623818,holdout,False,True
97,data/day97.csv,296430729,holdout,False,True
98,data/day98.csv,299062231,holdout,False,True
99,data/day99.csv,298008602,holdout,False,True
100,data/day100.csv,299737235,holdout,False,True
101,data/day101.csv,300323610,holdout,False,True
102,data/day102.csv,299571088,holdout,False,True
103,data/day103.csv,297401965,holdout,False,True
104,data/day104.csv,299400349,holdout,False,True
105,data/day105.csv,297221260,holdout,False,True
106,data/day106.csv,297645539,holdout,False,True
107,data/day107.csv,297044583,holdout,False,True
108,data/day108.csv,298214760,holdout,False,True
109,data/day109.csv,296989463,out_of_scope,False,False
110,data/day110.csv,300308741,out_of_scope,False,False
111,data/day111.csv,299265546,out_of_scope,False,False
112,data/day112.csv,300354121,out_of_scope,False,False
113,data/day113.csv,297803935,out_of_scope,False,False
114,data/day114.csv,298636621,out_of_scope,False,False
115,data/day115.csv,296613480,out_of_scope,False,False
116,data/day116.csv,297520784,out_of_scope,False,False
117,data/day117.csv,296944444,out_of_scope,False,False
118,data/day118.csv,298537944,out_of_scope,False,False
119,data/day119.csv,299308125,out_of_scope,False,False
120,data/day120.csv,300316513,out_of_scope,False,False
121,data/day121.csv,299304143,out_of_scope,False,False
122,data/day122.csv,299498549,out_of_scope,False,False
123,data/day123.csv,299052857,out_of_scope,False,False
