feature_i,feature_j,mean_abs_pearson,mean_abs_spearman,days_scored,expected_development_days,available_development_days,missing_development_days
PB1_T1,PB1_T2,0.7073631952087688,0.6563621929103732,70,85,70,15
PB1_T1,PB1_T3,0.4133432088928149,0.36554618199415834,70,85,70,15
PB1_T1,PB1_T4,0.2916758033722162,0.260266206555774,70,85,70,15
PB1_T1,PB1_T5,0.2389641414389099,0.20971202953321214,70,85,70,15
PB1_T1,PB1_T6,0.20770694523728628,0.18344207918138541,70,85,70,15
PB1_T1,PB1_T7,0.13647680264618536,0.11750543614583846,70,85,70,15
PB1_T1,PB1_T8,0.09327942786503716,0.08467135288970395,70,85,70,15
PB1_T1,PB1_T9,0.07856882650435582,0.06925745474451704,70,85,70,15
PB1_T1,PB1_T10,0.06215946865031573,0.05480436994606985,70,85,70,15
PB1_T1,PB1_T11,0.0603415771478016,0.05474548095803614,70,85,70,15
PB1_T1,PB1_T12,0.041998894316035096,0.043148141684761304,70,85,70,15
PB1_T1,PB2_T1,0.7144291734772636,0.6923614107626654,70,85,70,15
PB1_T1,PB2_T2,0.5033249920630419,0.4611841043017429,70,85,70,15
PB1_T1,PB2_T3,0.2966641890235704,0.2602843241619167,70,85,70,15
PB1_T1,PB2_T4,0.20744768641619052,0.18682738937140783,70,85,70,15
PB1_T1,PB2_T5,0.1686924862509636,0.14841338116917285,70,85,70,15
PB1_T1,PB2_T6,0.14562730565534623,0.12859607675510598,70,85,70,15
PB1_T1,PB2_T7,0.10176746190220949,0.08652688808932167,70,85,70,15
PB1_T1,PB2_T8,0.06850241950373027,0.06463724592640814,70,85,70,15
PB1_T1,PB2_T9,0.05891193640095289,0.05135318173353709,70,85,70,15
PB1_T1,PB2_T10,0.05413571300347092,0.04595666011935858,70,85,70,15
PB1_T1,PB2_T11,0.053270313723911805,0.047300589959181884,70,85,70,15
PB1_T1,PB2_T12,0.0390902482146444,0.039933616786831876,70,85,70,15
PB1_T1,PB3_T1,0.777606851775915,0.8450484939158441,70,85,70,15
PB1_T1,PB3_T2,0.7093506944338644,0.7404066361788567,70,85,70,15
PB1_T1,PB3_T3,0.5107593599538981,0.49278412927473797,70,85,70,15
PB1_T1,PB3_T4,0.3902772155017891,0.36204387738228316,70,85,70,15
PB1_T1,PB3_T5,0.329101859252915,0.30036423592509287,70,85,70,15
PB1_T1,PB3_T6,0.2903550037873865,0.262519066420505,70,85,70,15
PB1_T1,PB3_T7,0.19227359025078522,0.1706051165159809,70,85,70,15
PB1_T1,PB3_T8,0.1400018022436062,0.12227624261111437,70,85,70,15
PB1_T1,PB3_T9,0.11602955911437901,0.10118597972805206,70,85,70,15
PB1_T1,PB3_T10,0.0926572834195543,0.0803226569069523,70,85,70,15
PB1_T1,PB3_T11,0.08620937336783964,0.07536905874632181,70,85,70,15
PB1_T1,PB3_T12,0.04923034552922709,0.04960361288186301,70,85,70,15
PB1_T1,PB4_T1,1.0,1.0,70,85,70,15
PB1_T1,PB4_T2,0.7073631952087687,0.6563621929103732,70,85,70,15
PB1_T1,PB4_T3,0.4133432088928149,0.36554618199415834,70,85,70,15
PB1_T1,PB4_T4,0.29167580337221605,0.260266206555774,70,85,70,15
PB1_T1,PB4_T5,0.2389641414389099,0.20971202953321214,70,85,70,15
PB1_T1,PB4_T6,0.20770694523728628,0.18344207918138541,70,85,70,15
PB1_T1,PB4_T7,0.1364768026461853,0.11750543614583846,70,85,70,15
PB1_T1,PB4_T8,0.09327942786503714,0.08467135288970395,70,85,70,15
PB1_T1,PB4_T9,0.07856882650435579,0.06925745474451704,70,85,70,15
PB1_T1,PB4_T10,0.06215946865031574,0.05480436994606985,70,85,70,15
PB1_T1,PB4_T11,0.06034157714780147,0.05474548095803614,70,85,70,15
PB1_T1,PB4_T12,0.041998894316035075,0.043148141684761304,70,85,70,15
PB1_T1,PB5_T1,0.9999999695750891,1.0,70,85,70,15
PB1_T1,PB5_T2,0.7073597258235572,0.6563621929103732,70,85,70,15
PB1_T1,PB5_T3,0.4133418725357214,0.36554618199415834,70,85,70,15
PB1_T1,PB5_T4,0.2916731171148829,0.260266206555774,70,85,70,15
PB1_T1,PB5_T5,0.23895856803035653,0.20971202953321214,70,85,70,15
PB1_T1,PB5_T6,0.20769882959392838,0.18344207918138541,70,85,70,15
PB1_T1,PB5_T7,0.13646265045511932,0.11750543614583846,70,85,70,15
PB1_T1,PB5_T8,0.09326548152699787,0.08467135288970395,70,85,70,15
PB1_T1,PB5_T9,0.07855850092912631,0.06925745474451704,70,85,70,15
PB1_T1,PB5_T10,0.062159495664775515,0.05480436994606985,70,85,70,15
PB1_T1,PB5_T11,0.06034730704956364,0.05474548095803614,70,85,70,15
PB1_T1,PB5_T12,0.041984636810223325,0.043148141684761304,70,85,70,15
PB1_T1,PB6_T1,0.6872262948427929,0.6431492502241426,70,85,70,15
PB1_T1,PB6_T2,0.2644022061143507,0.23569208794769217,70,85,70,15
PB1_T1,PB6_T3,0.05239319217289446,0.04436737647167839,70,85,70,15
PB1_T1,PB6_T4,0.04497454843281655,0.038965454768730666,70,85,70,15
PB1_T1,PB6_T5,0.04681831603454206,0.0396579317566197,70,85,70,15
PB1_T1,PB6_T6,0.04793674431420171,0.039919965853894776,70,85,70,15
PB1_T1,PB6_T7,0.042294507000465054,0.03770286615840462,70,85,70,15
PB1_T1,PB6_T8,0.03848250470431046,0.03807231038629319,70,85,70,15
PB1_T1,PB6_T9,0.03420912861840114,0.03451890741186015,70,85,70,15
